testname,percentage,nodes,policy,min_support,time,rule_score,tree_score,winner
LUAD o LUSC,0.05,100000,bfs,0.3,0.494,0.786,0.529,1
LUAD o LUSC,0.05,100000,bfs,0.4,0.508,0.657,0.614,1
LUAD o LUSC,0.05,100000,bfs,0.4,0.034,0.771,0.614,1
LUAD o LUSC,0.05,100000,bfs,0.4,0.035,0.7,0.657,1
LUAD o LUSC,0.05,1000000,objective,0.01,3.791,0.657,0.643,1
LUAD o LUSC,0.05,1000000,objective,0.01,3.537,0.714,0.6,1
LUAD o LUSC,0.05,1000000,objective,0.01,4.15,0.671,0.729,0
LUAD o LUSC,0.05,1000000,objective,0.1,5.55,0.729,0.671,1
LUAD o LUSC,0.05,1000000,objective,0.1,11.776,0.743,0.657,1
LUAD o LUSC,0.05,1000000,objective,0.1,8.022,0.614,0.571,1
LUAD o LUSC,0.05,1000000,objective,0.3,165.452,0.671,0.714,0
LUAD o LUSC,0.05,1000000,objective,0.3,93.644,0.657,0.671,0
LUAD o LUSC,0.05,1000000,objective,0.3,121.995,0.757,0.686,1
LUAD o LUSC,0.05,1000000,objective,0.4,0.033,0.729,0.629,1
LUAD o LUSC,0.05,1000000,objective,0.4,0.033,0.714,0.643,1
LUAD o LUSC,0.05,1000000,objective,0.4,0.033,0.743,0.657,1
LUAD o LUSC,0.05,1000000,lower_bound,0.01,3.753,0.686,0.686,2
LUAD o LUSC,0.05,1000000,lower_bound,0.01,3.586,0.671,0.643,1
LUAD o LUSC,0.05,1000000,lower_bound,0.01,3.676,0.629,0.7,0
LUAD o LUSC,0.05,1000000,lower_bound,0.1,5.39,0.757,0.543,1
LUAD o LUSC,0.05,1000000,lower_bound,0.1,5.294,0.671,0.629,1
LUAD o LUSC,0.05,1000000,lower_bound,0.1,4.981,0.8,0.671,1
LUAD o LUSC,0.05,1000000,lower_bound,0.3,28.066,0.7,0.671,1
LUAD o LUSC,0.05,1000000,lower_bound,0.3,36.288,0.657,0.6,1
LUAD o LUSC,0.05,1000000,lower_bound,0.3,47.616,0.686,0.614,1
LUAD o LUSC,0.05,1000000,lower_bound,0.4,18.72,0.657,0.743,0
LUAD o LUSC,0.05,1000000,lower_bound,0.4,0.033,0.671,0.671,2
LUAD o LUSC,0.05,1000000,lower_bound,0.4,0.033,0.771,0.671,1
LUAD o LUSC,0.05,1000000,curious,0.01,3.786,0.671,0.629,1
LUAD o LUSC,0.05,1000000,curious,0.01,3.949,0.757,0.686,1
LUAD o LUSC,0.05,1000000,curious,0.01,4.087,0.786,0.614,1
LUAD o LUSC,0.05,1000000,curious,0.1,5.953,0.743,0.657,1
LUAD o LUSC,0.05,1000000,curious,0.1,6.036,0.729,0.6,1
LUAD o LUSC,0.05,1000000,curious,0.1,6.149,0.671,0.714,0
LUAD o LUSC,0.05,1000000,curious,0.3,29.172,0.671,0.586,1
LUAD o LUSC,0.05,1000000,curious,0.3,134.108,0.629,0.629,2
LUAD o LUSC,0.05,1000000,curious,0.3,63.497,0.7,0.6,1
LUAD o LUSC,0.05,1000000,curious,0.4,6.994,0.714,0.571,1
LUAD o LUSC,0.05,1000000,curious,0.4,0.033,0.714,0.6,1
LUAD o LUSC,0.05,1000000,curious,0.4,0.035,0.714,0.643,1
LUAD o LUSC,0.05,1000000,bfs,0.01,3.611,0.771,0.629,1
LUAD o LUSC,0.05,1000000,bfs,0.01,3.578,0.714,0.657,1
LUAD o LUSC,0.05,1000000,bfs,0.01,3.629,0.671,0.629,1
LUAD o LUSC,0.05,1000000,bfs,0.1,5.597,0.729,0.7,1
LUAD o LUSC,0.05,1000000,bfs,0.1,7.142,0.771,0.657,1
LUAD o LUSC,0.05,1000000,bfs,0.1,6.052,0.729,0.6,1
LUAD o LUSC,0.05,1000000,bfs,0.3,72.745,0.657,0.614,1
LUAD o LUSC,0.05,1000000,bfs,0.3,44.807,0.771,0.629,1
LUAD o LUSC,0.05,1000000,bfs,0.3,65.87,0.629,0.671,0
